시간,주 활동,부 활동,공간
8:00,기상,"알람 해제 (8:00, 8:15, 8:30)",집
8:15,아침 (딸기),,
8:30,등교 준비,,
8:45,등교,"날씨 확인, 버스 시간 확인 (1분)",등굣길
9:00,등교,,
9:15,등교,친구와 카카오톡 (5분),셔틀버스
9:30,강의(서양중세철학). 배드민턴 예약,"배드민턴 예약 (5분, 실패해서 노트북으로 진행), 강의 녹음 시작",8동 303호
9:45,강의(서양중세철학),,
10:00,강의(서양중세철학),,
10:15,강의(서양중세철학),,
10:30,강의(서양중세철학),,
10:45,"강의(서양중세철학), 출석체크","etl로 출석체크(1분, 댓글달기)",
11:00,"도서관 이동, 노트북으로 오늘 업무 확인","친구와 카카오톡(2분), 핸드폰 사용량 체크 앱 (stayfree) 설치",중앙도서관 2층
11:15,노트북으로 디지털에쓰노그래피 설문지 작성,,
11:30,독서 (면세 미술),,
11:45,독서 (면세 미술),,
12:00,낮잠,"친구와 카카오톡, 다음 강의실 확인 (5분)",
12:15,낮잠,노트북으로 학식 메뉴 확인,
12:30,논문 읽기,,
12:45,논문 읽기,음악 듣기,
13:00,논문 읽기,음악 듣기,
13:15,"도서 대여, 카페(중도 느나)로 이동","도서 대여 시 카카오톡, 모바일 학생증 사용","중앙도서관, 중도 느나"
13:30,"점심(샌드위치, 핫초코)","친구와 카카오톡, 노트북으로 업무(와플스튜디오)",중도 느나
13:45,"점심(샌드위치, 핫초코)",다음 수업 준비,
14:00,강의(서양문명과 과학기술),"업무 잠깐 (Slack), 강의 녹음",26동 B101호
14:15,강의(서양문명과 과학기술),강의 녹음,
14:30,강의(서양문명과 과학기술),강의 녹음,
14:45,강의(서양문명과 과학기술),강의 녹음,
15:00,"학교 미술관 이동, 전시 관람","음악 듣기, 친구와 카카오톡",
15:15,전시 관람,,
15:30,전시 관람,,
15:45,"전시 관람, 집으로 이동",음악 듣기,하굣길(셔틀 이용)
16:00,집으로 이동,"음악 듣기, 모바일 웹서핑(전시 관련 검색, 이어폰 검색)",
16:15,"환복, 휴식","모바일 웹서핑(이어폰 검색), 유튜브 시청",집
16:30,휴식,유튜브 시청,
16:45,휴식,유튜브 시청,
17:00,낮잠,,
17:15,낮잠,,
17:30,휴식,"카카오톡, 페이스북 확인, 노트북으로 웹서핑(식당)",
17:45,할 일 정리,유튜브 틀어놓음,
18:00,할 일 정리,유튜브 틀어놓음,
18:15,할 일 정리,유튜브 틀어놓음,
18:30,와플스튜디오 업무 정리,잠깐 유튜브 시청,
18:45,와플스튜디오 업무 정리,,
19:00,저녁 준비,,
19:15,저녁식사,TV 시청(유튜브),
19:30,저녁식사,TV 시청(유튜브),
19:45,저녁식사,TV 시청(유튜브),
20:00,어머니와 대화,간간히 카카오톡 확인,
20:15,어머니와 대화,간간히 카카오톡 확인,
20:30,스케쥴 정리 (with 어머니),타임트리 앱,
20:45,"스케쥴 정리 (with 어머니), 양치",타임트리 앱,
21:00,친구랑 전화,,
21:15,와플스튜디오 회의,간간히 카카오톡 확인,
21:30,와플스튜디오 회의,간간히 카카오톡 확인,
21:45,와플스튜디오 회의,간간히 카카오톡 확인,
22:00,와플스튜디오 회의,,
22:15,설거지,음악 재생,
22:30,어머니와 대화,음악 재생(스피커),
22:45,어머니와 대화,음악 재생(스피커),
23:00,어머니와 대화,음악 재생(스피커),
23:15,어머니와 대화,음악 재생(스피커),
23:30,씻기,음악 재생(스피커),
23:45,씻기,음악 재생(스피커),
0:00,잘 준비,"친구와 카카오톡 (2분), 트위치 방송 목록 확인",
0:15,시나리오 작성,친구와 전화(5분),
0:30,시나리오 작성,트위치 시청(노트북),
0:45,시나리오 작성,트위치 시청(노트북),
1:00,시나리오 작성,트위치 시청(노트북),
1:15,시나리오 작성,트위치 시청(노트북),
1:30,시나리오 작성,트위치 시청(노트북),
1:45,프로그래밍 공부,트위치 시청(노트북),
2:00,프로그래밍 공부,트위치 시청(노트북),
2:15,프로그래밍 공부,트위치 시청(노트북),
2:30,프로그래밍 공부,트위치 시청(노트북),
2:45,프로그래밍 공부,트위치 시청(노트북),
3:00,취침,,
